id,state_id/id,name
base.county_us_198,base.state_us_38,Benton
base.county_us_199,base.state_us_4,Benton
base.county_us_200,base.state_us_43,Benton
base.county_us_201,base.state_us_48,Benton
base.county_us_202,base.state_us_35,Benzie
base.county_us_203,base.state_us_25,Bergen
base.county_us_204,base.state_us_41,Berkeley
base.county_us_205,base.state_us_49,Berkeley
base.county_us_206,base.state_us_39,Berks
base.county_us_207,base.state_us_34,Berkshire
base.county_us_208,base.state_us_26,Bernalillo
base.county_us_209,base.state_us_11,Berrien
base.county_us_210,base.state_us_35,Berrien
base.county_us_211,base.state_us_28,Bertie
base.county_us_212,base.state_us_2,Bethel
base.county_us_213,base.state_us_44,Bexar
base.county_us_214,base.state_us_1,Bibb
base.county_us_215,base.state_us_11,Bibb
base.county_us_216,base.state_us_19,Bienville Parish
base.county_us_217,base.state_us_21,Big Horn
base.county_us_218,base.state_us_51,Big Horn
base.county_us_219,base.state_us_36,Big Stone
base.county_us_220,base.state_us_29,Billings
base.county_us_221,base.state_us_13,Bingham
base.county_us_222,base.state_us_16,Black Hawk
base.county_us_223,base.state_us_15,Blackford
base.county_us_224,base.state_us_28,Bladen
base.county_us_225,base.state_us_13,Blaine
base.county_us_226,base.state_us_21,Blaine
base.county_us_227,base.state_us_22,Blaine
base.county_us_228,base.state_us_31,Blaine
base.county_us_229,base.state_us_39,Blair
base.county_us_230,base.state_us_44,Blanco
base.county_us_231,base.state_us_47,Bland
base.county_us_232,base.state_us_11,Bleckley
base.county_us_233,base.state_us_43,Bledsoe
base.county_us_234,base.state_us_1,Blount
base.county_us_235,base.state_us_43,Blount
base.county_us_236,base.state_us_36,Blue Earth
base.county_us_237,base.state_us_13,Boise
base.county_us_238,base.state_us_37,Bolivar
base.county_us_239,base.state_us_38,Bollinger
base.county_us_240,base.state_us_42,Bon Homme
base.county_us_241,base.state_us_14,Bond
base.county_us_242,base.state_us_13,Bonner
base.county_us_243,base.state_us_13,Bonneville
base.county_us_244,base.state_us_14,Boone
base.county_us_245,base.state_us_15,Boone
base.county_us_246,base.state_us_16,Boone
base.county_us_247,base.state_us_18,Boone
base.county_us_248,base.state_us_22,Boone
base.county_us_249,base.state_us_38,Boone
base.county_us_250,base.state_us_4,Boone
base.county_us_251,base.state_us_49,Boone
base.county_us_252,base.state_us_44,Borden
base.county_us_253,base.state_us_44,Bosque
base.county_us_254,base.state_us_19,Bossier Parish
base.county_us_255,base.state_us_47,Botetourt
base.county_us_256,base.state_us_29,Bottineau
base.county_us_257,base.state_us_6,Boulder
base.county_us_258,base.state_us_13,Boundary
base.county_us_259,base.state_us_17,Bourbon
base.county_us_260,base.state_us_18,Bourbon
base.county_us_261,base.state_us_44,Bowie
base.county_us_262,base.state_us_29,Bowman
base.county_us_263,base.state_us_22,Box Butte
base.county_us_264,base.state_us_45,Box Elder
base.county_us_265,base.state_us_18,Boyd
